0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0.082464826,0.3706803506,0.9760776343,0.1179170939,0.1632038517,0.0844272132,0.3731432054,0.1232993841,0.0660237591,0.5227244137,0.1310728778,0.2435935366,0.0395815874,3913.58103027,1853.49010181,14.9706853401,0.6277603722,-0.3296425712,0.3016066191,-0.0355256639,0.0570147426,-0.1465903877,0.1108543101,-0.1396877052,0.0798029918,-0.1826865482,-0.0360170152,-0.2155410249,blues
0.0555463429,0.4283529051,0.9652994816,0.0757267235,0.1319087889,0.0668266045,0.2670670787,0.0894644902,0.059672052,0.4189006877,0.0955867832,0.1703854107,0.0393614565,3940.01692047,1725.17520432,11.570134993,0.6559745734,0.312215528,0.0814793613,0.1661022956,0.1398920943,-0.1348131228,0.2600771361,-0.1747264289,0.1993823301,-0.0894366616,-0.0143588588,-0.0729770388,blues
0.0758962341,0.3008470143,0.9760057408,0.0941284256,0.2177796958,0.0794798139,0.3773616723,0.1502086149,0.053236976,0.5321511503,0.1245106672,0.3034672655,0.0404873546,3457.54136116,1737.49098938,15.2362355275,1.5705048099,-0.6706867325,0.1310266972,-0.3645322522,0.1916482888,-0.0958170025,0.0420815267,-0.065723301,0.216550736,-0.1224783332,-0.0184866938,0.0604417241,blues
0.0329400923,0.5028210451,0.9650017269,0.0652868342,0.1144405417,0.0576175552,0.2495208237,0.0728219101,0.0387780536,0.375006887,0.0679874523,0.1563965302,0.0326834583,3477.15031021,1541.40351877,12.1063901065,1.3591510311,0.0957535874,0.1248148802,-0.0251596618,0.1929469221,-0.1407404736,-0.0663258899,-0.0828214169,0.0689788675,-0.1349113108,0.1028753505,0.0050578509,blues
0.1007001024,0.2200387128,0.91441167,0.1048860542,0.2116694186,0.0942031411,0.5356265246,0.1203463516,0.0782403933,0.6562424702,0.1707344883,0.3076501734,0.04942573,3790.64673811,1944.0975911,13.425219737,1.4674174854,-0.487052106,0.2569449414,-0.5058719672,0.2036658841,-0.2989290633,-0.1400483315,-0.1915881141,0.0618970087,-0.1882831354,-0.0255487812,-0.109223148,blues
0.0933437842,0.2109840677,0.9736576099,0.1019695384,0.1653067005,0.103073458,0.3784072283,0.10840411,0.0920618373,0.5482628134,0.129157716,0.2743199285,0.0501371345,3784.428464,1931.97851269,12.8721212945,1.1191779214,-0.2769655415,0.5097460169,-0.1880043972,0.3887227499,-0.2915536216,0.1565241305,-0.0382236529,0.2204484635,-0.1620266338,0.2519170383,-0.0618776591,blues
0.0725814564,0.2587285196,0.9757190959,0.1087557211,0.165099246,0.0856757178,0.3234600635,0.1207927977,0.0567937094,0.4829544342,0.1186246463,0.2071204903,0.0385028585,3439.9393683,1746.77546271,12.3002727864,2.1348999847,-1.0298790405,0.5518776282,0.3944791811,0.3923382054,-0.3092169152,0.0851191143,-0.154496152,0.1664951985,-0.1823767579,0.133983594,-0.004165424,blues
0.0610125268,0.2237139508,0.986458671,0.0915196464,0.1307151453,0.0674348346,0.2673863749,0.1039187399,0.0625260902,0.4321378898,0.1004667003,0.175563577,0.0353466542,3593.43861628,1737.39846874,13.0782678177,1.7660341218,-0.8343361033,0.4669477467,0.2476231419,0.4386839207,-0.3156127626,0.3922917991,-0.1010657742,0.1964403891,-0.0954265659,0.0208818733,-0.0065672803,blues
0.0635918327,0.4626700717,0.9668729785,0.0984845308,0.1555322557,0.0810706597,0.33204259,0.1081517519,0.063225347,0.4540460879,0.1539248448,0.2018887686,0.044785746,4093.25296108,1829.35678246,14.6380271307,0.4484053102,-0.410995328,0.3720397777,0.1347456498,0.1535092701,-0.2010536649,0.0628693662,-0.3562016951,0.0675848516,-0.0124525386,0.2376131432,-0.0718469117,blues
0.0783896934,0.2924616428,0.9392473659,0.0871663474,0.1565580806,0.0757699308,0.3620315365,0.1011527872,0.0737664175,0.5445276398,0.1082572815,0.2274019926,0.0449815992,4048.0141944,1875.12487271,12.3457892519,0.7708663614,-0.0563552149,0.7780382319,-0.2995714688,0.0262767364,-0.2283794707,0.1577876524,-0.2998078555,0.1544792729,-0.3273507564,-0.0469614105,-0.0224332223,blues
